차량번호,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,제시번호,차량모델,제조사,가격
34로8469,12년11월(13년형),"131,787",가솔린,오토,14,준중형,"1,591",흰색,없음,없음,없음,2021086112,아반떼MDM16 GDI 모던 ,현대,599만원
90누7364,17년08월(18년형),"83,316",디젤,수동,정보없음,승합,"2,476",검정색,없음,없음,1 건,602006,그랜드스타렉스5인승 밴 CVX 모던,현대,"1,730만원"
14오7917,14년05월(14년형),"77,262",가솔린,오토,10.2,대형,"2,495",검정색,없음,없음,없음,2021021921,All New SM7LE 아트,르노삼성,959만원
241조5103,14년04월(15년형),"214,758",LPG,오토,정보없음,중형,"1,999",은색,없음,없음,없음,2021089535,LF쏘나타LPI 렌터카 스마트,현대,550만원
241조5183,14년04월(15년형),"212,776",LPG,오토,정보없음,중형,"1,999",은색,없음,없음,없음,2021089537,LF쏘나타LPI 렌터카 스마트,현대,550만원
87조7614,16년10월(17년형),913,LPG,수동,정보없음,트럭,796,빨강,없음,없음,없음,2020007239,라보이동판매차 ,한국GM,540만원
32수0618,16년08월(17년형),"41,734",가솔린,오토,13.7,준중형,"1,591",흰색,없음,없음,없음,2020255745,아반떼AD1.6 GDi 스마트 ,현대,830만원
390버2821,17년03월(17년형),"130,166",가솔린,오토,12.3,중형,"1,997",검정색,없음,없음,없음,2021035141,SM62.0 GDe SE ,르노삼성,929만원
48버0572,16년06월(16년형),"86,822",가솔린,오토,정보없음,중형,"1,997",다크그레이,없음,없음,없음,2021090073,SM62.0 GDe LE 기본형,르노삼성,"1,180만원"
303조3415,19년04월(19년형),"16,664",가솔린,오토,정보없음,대형,"2,359",검정,없음,없음,없음,2021089669,그랜저IG2.4 모던 기본형,현대,"2,370만원"
